ACCESSION_NUMBER	RPTOWNERCIK	RPTOWNERNAME	RPTOWNER_RELATIONSHIP	RPTOWNER_TITLE	RPTOWNER_TXT	RPTOWNER_STREET1	RPTOWNER_STREET2	RPTOWNER_CITY	RPTOWNER_STATE	RPTOWNER_ZIPCODE	RPTOWNER_STATE_DESC	FILE_NUMBER
0001209191-20-065779	0001664281	PARMAR KUSH	Director,TenPercentOwner			501 2ND STREET, SUITE 350		SAN FRANCISCO	CA	94107		001-39343
0001209191-20-065778	0001791889	5AM Partners V, LLC	TenPercentOwner			501 2ND STREET, SUITE 350		SAN FRANCISCO	CA	94107		001-39343
0001209191-20-065778	0001790778	5AM Opportunities I (GP), LLC	TenPercentOwner			501 2ND STREET, SUITE 350		SAN FRANCISCO	CA	94107		001-39343
0001209191-20-065778	0001598549	Schwab Andrew J.	TenPercentOwner			501 2ND STREET, SUITE 350		SAN FRANCISCO	CA	94107		001-39343
0001209191-20-065778	0001219014	ROCKLAGE SCOTT M	TenPercentOwner			501 2ND STREET, SUITE 350		SAN FRANCISCO	CA	94107		001-39343
0001209191-20-065778	0001674324	5AM Ventures V, L.P.	TenPercentOwner			501 2ND STREET, SUITE 350		SAN FRANCISCO	CA	94107		001-39343
0001209191-20-065778	0001753000	5AM Opportunities I, L.P.	TenPercentOwner			501 2ND STREET, SUITE 350		SAN FRANCISCO	CA	94107		001-39343
0001493152-20-024718	0001467256	MARQUIS LIONEL	Officer	CFO		6301 NW 5TH WAY, SUITE 2900		FORT LAUDERDALE	FL	33309		000-24968
0001493152-20-024717	0001450661	ATKINSON GARY KEVIN	Officer	CEO		6301 NW 5TH WAY, SUITE 2900		FORT LAUDERDALE	FL	33309		000-24968
0001493152-20-024716	0001467255	MELO BERNARDO	Officer	VP Sales		6301 NW 5TH WAY, SUITE 2900		FORT LAUDERDALE	FL	33309		000-24968
0001104659-20-141128	0001787403	Shah Preetam	Officer	EVP, CFO and Treasurer		C/O BRAINSTORM CELL THERAPEUTICS INC.	1325 AVENUE OF AMERICAS, 28TH FLOOR	NEW YORK	NY	10019		001-36641
0001127602-20-032641	0001197203	TAYLOR KEITH D	Officer	Chief Financial Officer		ONE LAGOON DRIVE		REDWOOD CITY	CA	94065		000-31293
0001225208-20-015165	0001781598	Esparza Jose Luis Jr	Officer	SVP/IS/Customer Engagement		8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0001225208-20-015164	0001520192	DeBonis Eric	Officer	SVP/Operations		8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0001225208-20-015163	0001289491	Daily Paul M	Officer	CEO/Centuri Group, Inc.		8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0001225208-20-015162	0001740091	Colvin Lori L	Officer	VP/Controller/CAO		8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0001225208-20-015161	0001740097	Brown Justin L	Officer	SVP/General Counsel		8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0000899243-20-035568	0001404071	Blackstone Group Management L.L.C.	TenPercentOwner			C/O THE BLACKSTONE GROUP INC.	345 PARK AVENUE	NEW YORK	NY	10154		001-33366
0000899243-20-035568	0001393818	Blackstone Group Inc	TenPercentOwner			345 PARK AVENUE		NEW YORK	NY	10154		001-33366
0000899243-20-035568	0001070844	SCHWARZMAN STEPHEN A	TenPercentOwner			C/O THE BLACKSTONE GROUP INC.	345 PARK AVENUE	NEW YORK	NY	10154		001-33366
0000899243-20-035568	0001484870	Blackstone Holdings II L.P.	TenPercentOwner			C/O THE BLACKSTONE GROUP INC.	345 PARK AVENUE	NEW YORK	NY	10154		001-33366
0000899243-20-035568	0001464695	Blackstone Holdings I/II GP L.L.C.	TenPercentOwner			C/O THE BLACKSTONE GROUP INC.	345 PARK AVENUE	NEW YORK	NY	10154		001-33366
0001225208-20-015160	0001498492	Thoman A. Randall	Director			8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0001225208-20-015159	0001446273	Thomas Thomas A	Director			8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0001225208-20-015158	0001348352	Thornton Leslie T	Director			8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0001225208-20-015157	0001763779	Lewis-Raymond Jane	Director			8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0001225208-20-015156	0001387049	Comer Stephen C	Director			8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0001225208-20-015155	0001186736	BOUGHNER ROBERT L	Director			8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0001225208-20-015154	0001498494	Peterson Gregory J	Officer	SVP/Chief Financial Officer		8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0001225208-20-015153	0001234538	KENNY KENNETH J	Officer	VP/Finance/Treasurer		8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0001225208-20-015152	0001350064	Hester John P	Director,Officer	President and CEO		8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0001225208-20-015151	0001446274	Haller Karen S	Officer	EVP/Chief Legal/Admin Officer		8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0001225208-20-015150	0001527707	Cardenas Jose A	Director			8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0001225208-20-015149	0001288050	MARIUCCI ANNE L	Director			8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0001225208-20-015148	0001270868	MELARKEY MICHAEL J	Director			8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0000899243-20-035567	0001770053	Blackstone Infrastructure Associates L.P.	TenPercentOwner			C/O THE BLACKSTONE GROUP INC.	345 PARK AVENUE	NEW YORK	NY	10154		001-33366
0000899243-20-035567	0001770017	BIA GP L.P.	TenPercentOwner			C/O THE BLACKSTONE GROUP INC.	345 PARK AVENUE	NEW YORK	NY	10154		001-33366
0000899243-20-035567	0001806172	BX Rockies Platform Co LLC	TenPercentOwner			C/O THE BLACKSTONE GROUP INC.	345 PARK AVENUE	NEW YORK	NY	10154		001-33366
0000899243-20-035567	0001770016	BIA GP L.L.C.	TenPercentOwner			C/O THE BLACKSTONE GROUP INC.	345 PARK AVENUE	NEW YORK	NY	10154		001-33366
0000899243-20-035567	0001770015	BIP Holdings Manager L.L.C.	TenPercentOwner			C/O THE BLACKSTONE GROUP INC.	345 PARK AVENUE	NEW YORK	NY	10154		001-33366
0000899243-20-035567	0001825945	BIP Chinook Holdco L.L.C.	TenPercentOwner			C/O THE BLACKSTONE GROUP INC.	345 PARK AVENUE	NEW YORK	NY	10154		001-33366
0001209191-20-065777	0001637219	Tomasi Adam	Officer	President, COO and CFO		975 ISLAND DRIVE, SUITE 201		REDWOOD CITY	CA	94065		001-38582
0001209191-20-065776	0001608782	Alexander Robert	Director,Officer	Chief Executive Officer		975 ISLAND DRIVE, SUITE 201		REDWOOD CITY	CA	94065		001-38582
0001209191-20-065775	0001580111	Holles Natalie C.	Director			C/O ALLAKOS INC.	975 ISLAND DRIVE, SUITE 201	REDWOOD CITY	CA	94065		001-38582
0001209191-20-065773	0001780664	RUBINSTEIN JULIE	Officer	President		C/O ADAPTIVE BIOTECHNOLOGIES CORP.	SUITE 200	SEATTLE	WA	98102		001-38957
0001209191-20-065774	0001799081	Taylor Stacy L	Officer	SVP and General Counsel		C/O ADAPTIVE BIOTECHNOLOGIES	1551 EASTLAKE AVE E STE 200	SEATTLE	WA	98102		001-38957
0000950103-20-025105	0001838139	Urist Marshall	Officer	EVP & Co-Head Research & Inv.		C/O ROYALTY PHARMA PLC	110 EAST 59TH STREET	NEW YORK	NY	10022		001-39329
0001209191-20-065772	0001184055	STEINBERG LEONARD	Officer	SVP, Legal/Reg/Gov & Corp Sec.		C/O ALASKA COMMUNICATIONS SYSTEMS	600 TELEPHONE AVE	ANCHORAGE	AK	99503		001-38341
