ACCESSION_NUMBER	RPTOWNERCIK	RPTOWNERNAME	RPTOWNER_RELATIONSHIP	RPTOWNER_TITLE	RPTOWNER_TXT	RPTOWNER_STREET1	RPTOWNER_STREET2	RPTOWNER_CITY	RPTOWNER_STATE	RPTOWNER_ZIPCODE	RPTOWNER_STATE_DESC	FILE_NUMBER
0001178913-20-001297	0001637230	Adest Meir	Officer	VP, Core Technologies		1 HAMADA STREET		HERZILIYA PITUACH	L3	4673335	ISRAEL	001-36894
0000018230-20-000151	0001768624	Ainsworth William P	Officer	Group President		510 LAKE COOK ROAD	SUITE 100	DEERFIELD	IL	60015		001-00768
0001056943-20-000039	0001289815	Bodnyk Sandra	Director			C/O PEOPLES SECURITY BANK & TRUST CO.	150 N WASHINGTON AVE	SCRANTON	PA	18503		001-36388
0001209191-20-026728	0001671005	Shivananda Sripada	Director			C/O F5 NETWORKS, INC.	801 5TH AVENUE	SEATTLE	WA	98104		000-26041
0001518715-20-000099	0001529623	EVANS GODFREY B	Officer	EVP - General Counsel		601 UNION STREET, SUITE 2000		SEATTLE	WA	98101		001-35424
0001127602-20-015174	0001180453	TAYLOR ANDREW C	Director				1000 WALNUT ST., 7TH FLOOR	KANSAS CITY	MO	64106		001-36502
0001801454-20-000006	0001801454	Archer Jacqueline L.	Director			P. O. BOX 13007		ROANOKE	VA	24030		000-26591
0001225208-20-006979	0001393459	White Gary G	Director			514 MARKET ST		PARKERSBURG	WV	26101		002-86947
0001127602-20-015173	0001574095	Witt Marshall	Officer	Chief Financial Officer		44201 NOBEL DRIVE		FREMONT	CA	94538		001-31892
0000746838-20-000103	0001561637	Thomson Michael M	Officer	Senior Vice President and CFO		C/O UNISYS CORPORATION	801 LAKEVIEW DRIVE, SUITE 100	BLUE BELL	PA	19422		001-08729
0001056943-20-000038	0001350641	Aubrey William E II	Director			C/O PEOPLES SECURITY BANK & TRUST CO.	150 N WASHINGTON AVE	SCRANTON	PA	18503		001-36388
0001104659-20-056160	0001774588	Stephan Dietrich A	Director,Officer,TenPercentOwner	President and CEO		C/O NEUBASE THERAPEUTICS, INC.	700 TECHNOLOGY DRIVE, THIRD FLOOR	PITTSBURGH	PA	15219		001-35963
0001104659-20-056160	0001783932	Lipizzaner LLC	TenPercentOwner			C/O NEUBASE THERAPEUTICS, INC.	700 TECHNOLOGY DRIVE, THIRD FLOOR	PITTSBURGH	DE	15219		001-35963
0001127602-20-015171	0001389135	Walker Kimberly G	Director				1000 WALNUT ST., 7TH FLOOR	KANSAS CITY	MO	64106		001-36502
0001127602-20-015170	0001180453	TAYLOR ANDREW C	Director				1000 WALNUT ST., 7TH FLOOR	KANSAS CITY	MO	64106		001-36502
0000729986-20-000002	0001189784	REXROAD JERRY L	Director			514 MARKET STREET		PARKERSBURG	WV	26101		002-86947
0001127602-20-015169	0001490102	Schnuck Todd R	Director				1000 WALNUT ST., 7TH FLOOR	KANSAS CITY	MO	64106		001-36502
0001127602-20-015168	0001182117	RASSIEUR BENJAMIN F III	Director				1000 WALNUT ST., 7TH FLOOR	KANSAS CITY	MO	64106		001-36502
