ACCESSION_NUMBER	RPTOWNERCIK	RPTOWNERNAME	RPTOWNER_RELATIONSHIP	RPTOWNER_TITLE	RPTOWNER_TXT	RPTOWNER_STREET1	RPTOWNER_STREET2	RPTOWNER_CITY	RPTOWNER_STATE	RPTOWNER_ZIPCODE	RPTOWNER_STATE_DESC	FILE_NUMBER
0001714899-21-000117	0001437435	Tessier-Lavigne Marc	Director			C/O DENALI THERAPEUTICS INC.	161 OYSTER POINT BLVD.	SOUTH SAN FRANCISCO	CA	94080		001-38311
0001659154-21-000059	0001649618	Patel Shashank	Director			1415 W 22ND ST		OAK BROOK	IL	60523-2074		001-06003
0001520138-21-000833	0001839295	Ng Eng Ho	Director			159 JALAN KAMPONG CHANTEK		SINGAPORE		587887		001-41187
0001520138-21-000831	0001420330	Shen Martin Chung-Wen	Officer	CEO		6228 BLENHEIM STREET		VANCOUVER		V6N 1R4		001-41187
0001371285-21-000326	0001657025	Tooth Margaret	Officer	Co-President		C/O TRUPANION, INC.	6100 4TH AVENUE SOUTH, SUITE 200	SEATTLE	WA	98108		001-36537
0001213900-21-068231	0001351779	KIDRON NADAV	Director,Officer	President and CEO		1185 AVENUE OF THE AMERICAS, THIRD FLOOR		NEW YORK,	NY	10036		001-35813
0001213900-21-068230	0001767090	Rabinowitz Michael	Officer	Chief Commercial Officer		1185 AVENUE OF THE AMERICAS, THIRD FLOOR		NEW YORK,	NY	10036		001-35813
0001520138-21-000829	0001847701	Leong Yew Poh	Director			61 SPRINGSIDE VIEW		SINGAPORE		786060		001-41187
0001754480-21-000002	0001754480	Williams Roland L.	Director			8847 W. SAM HOUSTON PKWY. NORTH	SUITE 200	HOUSTON	TX	77040		001-37585
0001047862-21-000308	0001564677	McAvoy John	Director	Director, Non-Executive Chair		CONSOLIDATED EDISON, INC. C/O SECRETARY	4 IRVING PLACE, SUITE 16-205	NEW YORK	NY	10003		001-14514
0001520138-21-000827	0001846239	Lee Yew Hon	Officer	CFO		NO 5, JALAN BRP 3/3C, SUNWAY RAHMAN	PUTRA SEKSYEN U20, SHAH ALAM	SELANGOR		40160		001-41187
0001047862-21-000307	0001564677	McAvoy John	Director	Director, Non-Executive Chair		CONSOLIDATED EDISON, INC.C/O SECRETARY	4 IRVING PLACE, SUITE 16-205	NEW YORK	NY	10003		001-14514
0000880984-21-000006	0001131043	LOEB JAN H	Director,Officer,TenPercentOwner	President and CEO		LEAP TIDE CAPITAL MANAGEMENT	10451 MILL RUN CIRCLE SUITE 400	OWINGS MILLS	MD	21117		001-33886
0001047862-21-000306	0001564677	McAvoy John	Director	Director, Non-Executive Chair		CONSOLIDATED EDISON, INC. C/O SECRETARY	4 IRVING PLACE, SUITE 16-205	NEW YORK	NY	10003		001-14514
0000899243-21-050133	0001028340	JACQUET RICHARD J	Officer	See Remarks		381 E. EVELYN AVE.		MOUNTAIN VIEW	CA	94041		001-40275
0000947871-21-001323	0001808744	OrbiMed Genesis GP LLC	Director			601 LEXINGTON AVENUE, 54TH FLOOR		NEW YORK	NY	10022		001-40475
0000947871-21-001323	0001055951	ORBIMED ADVISORS LLC	Director			601 LEXINGTON AVENUE	54TH FLOOR	NEW YORK	NY	10022-4629		001-40475
0000947871-21-001323	0001845804	OrbiMed Capital GP VIII LLC	Director			601 LEXINGTON AVENUE	54TH FLOOR	NEW YORK	NY	10022		001-40475
0001209191-21-071650	0001611468	Hoelscher Paul W.	Officer	EVP, CFO		C/O HORIZON THERAPEUTICS PLC,	70 SAINT STEPHEN?S GREEN	DUBLIN	L2	D02 E2X4	IRELAND	001-35238
0000899243-21-050131	0001712741	Bouthillette Max	Officer	See Remarks		3040 POST OAK BOULEVARD, 15TH FLOOR		HOUSTON	TX	77056		001-38609
0001437749-21-029536	0001366776	Rossi Nicola	Officer	Chief Accounting Officer		WYNDHAM HOTELS & RESORTS, INC.	22 SYLVAN WAY	PARSIPPANY	NJ	07054		001-38432
0001104659-21-154851	0001626636	Summers Lawrence Henry	Director			C/O SKILLSOFT CORP.	300 INNOVATIVE WAY #201	NASHUA	NH	03062		001-38960
0001104659-21-154850	0001860986	Schmitt Peter	Director			C/O SKILLSOFT CORP.	300 INNOVATIVE WAY #201	NASHUA	NH	03062		001-38960
0000947871-21-001322	0001357522	Thompson Peter A.	Director			C/O JANUX THERAPEUTICS, INC.	11099 N. TORREY PINES ROAD, SUITE 290	LA JOLLA	CA	92037		001-40475
0001104659-21-154849	0001181770	MILLS KAREN G	Director			C/O SKILLSOFT CORP.	300 INNOVATIVE WAY #201	NASHUA	NH	03062		001-38960
0001104659-21-154848	0001863746	Kolek Patrick	Director			C/O SKILLSOFT CORP.	300 INNOVATIVE WAY #201	NASHUA	NH	03062		001-38960
0001104659-21-154847	0001327392	Klein Michael Stuart	Director			C/O SKILLSOFT CORP.	300 INNOVATIVE WAY #201	NASHUA	NH	03062		001-38960
0001104659-21-154846	0001863751	Illg Lawrence Charles	Director			C/O SKILLSOFT CORP.	300 INNOVATIVE WAY #201	NASHUA	NH	03062		001-38960
0001104659-21-154845	0001091482	HOVSEPIAN RONALD W	Director			C/O SKILLSOFT CORP.	300 INNOVATIVE WAY #201	NASHUA	NH	03062		001-38960
0001104659-21-154844	0001429996	Foulkes Helena	Director			C/O SKILLSOFT CORP.	300 INNOVATIVE WAY #201	NASHUA	NH	03062		001-38960
0001062993-21-013699	0001663780	Valente Michael W	Officer	VP General Counsel & Secretary		C/O GCP APPLIED TECHNOLOGIES INC.	2325 LAKEVIEW PARKWAY, SUITE 500	ALPHARETTA	GA	30009		001-37533
0001179110-21-011278	0001576819	Downing Philip A	Officer	Sr. VP, Preclinical Srvcs.		C/O INOTIV, INC.	2701 KENT AVENUE	WEST LAFAYETTE	IN	47906		000-23357
0000852772-21-000098	0001213613	WOLFINGER F MARK	Director,Officer	President		DENNY'S CORPORATION	203 EAST MAIN STREET	SPARTANBURG	SC	29319		000-18051
0001062993-21-013697	0001848511	Waddell James	Officer	Chief Accounting Officer		C/O GCP APPLIED TECHNOLOGIES INC.	2325 LAKEVIEW PARKWAY, SUITE 500	ALPHARETTA	GA	30009		001-37533
0000852772-21-000097	0001187143	MILLER JOHN C	Director,Officer	Chief Executive Officer		DENNY'S CORPORATION	203 EAST MAIN STREET	SPARTANBURG	SC	29319		000-18051
0000852772-21-000096	0001578187	Dunn Stephen C.	Officer	EVP, Chief Global Dev. Ofc.		DENNY'S CORPORATION	203 EAST MAIN STREET	SPARTANBURG	SC	29319		000-18051
0000852772-21-000095	0001578047	Bode Christopher D	Officer	EVP, Chief Operating Officer		DENNY'S CORPORATION	203 EAST MAIN STREET	SPARTANBURG	SC	29319		000-18051
