ACCESSION_NUMBER	RPTOWNERCIK	RPTOWNERNAME	RPTOWNER_RELATIONSHIP	RPTOWNER_TITLE	RPTOWNER_TXT	RPTOWNER_STREET1	RPTOWNER_STREET2	RPTOWNER_CITY	RPTOWNER_STATE	RPTOWNER_ZIPCODE	RPTOWNER_STATE_DESC	FILE_NUMBER
0001772384-19-000004	0001772384	Mims Alan	Officer	Chief Credit Officer		1736 CAROTHERS PARKWAY SUITE 100		BRENTWOOD	TN	37027		001-37391
0001618835-19-000219	0001360000	Lynch Thomas G	Director			C/O EVOFEM BIOSCIENCES, INC.	12400 HIGH BLUFF DRIVE, SUITE 600	SAN DIEGO	CA	92130		001-36754
0001482512-19-000156	0001490865	Shimoda Sanford Dale	Officer	EVP, Finance		11601 WILSHIRE BLVD. SUITE 900		LOS ANGELES	CA	90025		001-34789
0001482512-19-000155	0001246348	LAMMAS MARK T	Officer	COO, CFO and Treasurer		11601 WILSHIRE BLVD. SUITE 900		LOS ANGELES	CA	90025		001-34789
0001482512-19-000154	0001506044	Diramerian Harout Krikor	Officer	Chief Accounting Officer		11601 WILSHIRE BLVD. SUITE 900		LOS ANGELES	CA	90025		001-34789
0001482512-19-000153	0001490818	Barton Christopher James	Officer	EVP,Development & Capital Inv		11601 WILSHIRE BLVD. SUITE 900		LOS ANGELES	CA	90025		001-34789
0001482512-19-000152	0001191420	COLEMAN VICTOR J	Director,Officer	Chief Executive Officer		11601 WILSHIRE BLVD. SUITE 900		LOS ANGELES	CA	90025		001-34789
0001482512-19-000151	0001646914	Hatfield Joshua A.	Officer	EVP, Operations		11601 WILSHIRE BLVD. SUITE 900		LOS ANGELES	CA	90025		001-34789
0001482512-19-000150	0001506043	Tidwell Kay Lee	Officer	Executive VP, General Counsel		11601 WILSHIRE BLVD. SUITE 900		LOS ANGELES	CA	90025		001-34789
0001482512-19-000149	0001646908	Suazo Arthur X.	Officer	EVP, Leasing		11601 WILSHIRE BLVD. SUITE 900		LOS ANGELES	CA	90025		001-34789
0001482512-19-000148	0001652508	Jaffe Steven M.	Officer	Chief Risk Officer		11601 WILSHIRE BLVD SUITE 900		LOS ANGELES	CA	90025		001-34789
0001482512-19-000147	0001599433	Vouvalides Alex	Officer	Chief Investment Officer		11601 WILSHIRE BLVD. SUITE 900		LOS ANGELES	CA	90066		001-34789
