ACCESSION_NUMBER	RPTOWNERCIK	RPTOWNERNAME	RPTOWNER_RELATIONSHIP	RPTOWNER_TITLE	RPTOWNER_TXT	RPTOWNER_STREET1	RPTOWNER_STREET2	RPTOWNER_CITY	RPTOWNER_STATE	RPTOWNER_ZIPCODE	RPTOWNER_STATE_DESC	FILE_NUMBER
0001415889-23-013666	0001697362	Brophy Michael Burkes	Officer	CHIEF FINANCIAL OFFICER		C/O NATERA, INC.	13011 MCCALLEN PASS BUILDING A SUITE 100	AUSTIN	TX	78753		001-37478
0001415889-23-013665	0001711968	Chapman Steven Leonard	Director,Officer	CEO AND PRESIDENT		C/O NATERA, INC.	13011 MCCALLEN PASS BUILDING A SUITE 100	AUSTIN	TX	78753		001-37478
0001415889-23-013664	0001857843	RABINOWITZ DANIEL	Officer	SEC. AND CHIEF LEGAL OFFICER		C/O NATERA, INC.	13011 MCCALLEN PASS BUILDING A SUITE 100	AUSTIN	TX	78753		001-37478
0001415889-23-013663	0001646649	Sheena Jonathan	Director,Other		CO-FOUNDER	C/O NATERA, INC.	13011 MCCALLEN PASS BUILDING A SUITE 100	AUSTIN	TX	78753		001-37478
0001140361-23-046110	0001801917	Venker Eric	Officer	President & COO		C/O ROIVANT SCIENCES LTD.	7TH FLOOR, 50 BROADWAY	LONDON	X0	SW1H 0DB	UNITED KINGDOM	001-40782
0001140361-23-046109	0001750050	Sukhatme Mayukh	Officer	Pres&Chief Investment Officer		C/O ROIVANT SCIENCES LTD.	7TH FLOOR, 50 BROADWAY	LONDON	X0	SW1H 0DB	UNITED KINGDOM	001-40782
0001140361-23-046108	0001750094	Gline Matthew	Director,Officer	CEO		C/O ROIVANT SCIENCES LTD.	7TH FLOOR, 50 BROADWAY	LONDON	X0	SW1H 0DB	UNITED KINGDOM	001-40782
0001140361-23-046107	0001635075	Ramaswamy Vivek	TenPercentOwner			PO BOX 20860		COLUMBUS	OH	43220		001-40782
0001140361-23-046106	0001856296	Kumar Rakhi	Officer	Chief Accounting Officer		C/O ROIVANT SCIENCES LTD.	7TH FLOOR, 50 BROADWAY	LONDON	X0	SW1H 0DB	UNITED KINGDOM	001-40782
0001062993-23-018648	0001995670	Smith-Gomez Janis	Director			C/O 4875 WHITE BEAR PARKWAY		WHITE BEAR LAKE	MN	55110		001-40133
0001062993-23-018646	0001995769	Patel Mona Chetan	Director			C/O 4875 WHITE BEAR PARKWAY		WHITE BEAR LAKE	MN	55110		001-40133
0000950170-23-050900	0001568128	Vecchiarelli Gary Anthony	Officer	Chief Financial Officer		2370 CORPORATE CIRCLE	SUITE 160	HENDERSON	NV	89074		001-39187
0001062993-23-018644	0001712459	BRYNELSEN CHARLES	Director			C/O 4875 WHITE BEAR PARKWAY		WHITE BEAR LAKE	MN	55110		001-40133
0000950170-23-050899	0001625557	Bradford Zachary	Director,Officer	CEO and President		2370 CORPORATE CIRCLE	SUITE 160	HENDERSON	NV	89074		001-39187
0001062993-23-018642	0001480371	Wells David R.	Officer	Chief Financial Officer		C/O 4875 WHITE BEAR PARKWAY		WHITE BEAR LAKE	MN	55110		001-40133
0001062993-23-018641	0001994382	Lucas Brent T.	Director,Officer	Chief Executive Officer		C/O 4875 WHITE BEAR PARKWAY		WHITE BEAR LAKE	MN	55110		001-40133
0001209191-23-050893	0001895148	Phillips Dominic	Officer	See remarks		C/O SAMSARA INC.	1 DE HARO STREET	SAN FRANCISCO	CA	94107		001-41140
0000950170-23-050897	0001625587	Schultz S. Matthew	Director,Officer	Executive Chairman		2370 CORPORATE CIRCLE	SUITE 160	HENDERSON	NV	89074		001-39187
