ACCESSION_NUMBER	RPTOWNERCIK	RPTOWNERNAME	RPTOWNER_RELATIONSHIP	RPTOWNER_TITLE	RPTOWNER_TXT	RPTOWNER_STREET1	RPTOWNER_STREET2	RPTOWNER_CITY	RPTOWNER_STATE	RPTOWNER_ZIPCODE	RPTOWNER_STATE_DESC	FILE_NUMBER
0001787306-23-000025	0001801061	Watanabe Todd Franklin	Director,Officer	See Remarks		C/O ARCUTIS BIOTHERAPEUTICS, INC.	3027 TOWNSGATE ROAD, SUITE 300	WESTLAKE VILLAGE	CA	91361		001-39186
0001104659-23-040415	0001852360	Roberts William T.	Officer	Chief Accounting Officer		C/O RHYTHM PHARMACEUTICALS, INC.	222 BERKELEY STREET, 12TH FLOOR	BOSTON	MA	02116		001-38223
0001140361-23-015527	0001779336	Malecek Michael J	Officer	Chief Legal Officer		C/O PROTHENA BIOSCIENCES INC	331 OYSTER POINT BOULEVARD	SOUTH SAN FRANCISCO	CA	94080		001-35676
0001140361-23-015526	0001885841	Pulik Richard	Officer	CFO		C/O ROIVANT SCIENCES LTD.	7TH FLOOR, 50 BROADWAY	LONDON	X0	SW1H 0DB	UNITED KINGDOM	001-40782
0000950142-23-000899	0001180414	DUNN KEVIN	Officer	Exec Prod & Chief Glo TV Prod*		C/O WORLD WRESTLING ENTERTAINMENT INC.	1241 EAST MAIN STREET	STAMFORD	CT	06902		001-16131
0001505952-23-000036	0001366770	James Joshua G	Director,Officer,TenPercentOwner	Founder and CEO		C/O DOMO, INC.	772 EAST UTAH VALLEY DRIVE	AMERICAN FORK	UT	84003		001-38553
0001209191-23-021956	0001210226	MOTT RICHARD W	Director			C/O TREACE MEDICAL CONCEPTS, INC.	100 PALMETTO PARK PLACE	PONTE VEDRA	FL	32081		001-40355
0001209191-23-021955	0001185191	TREACE JAMES T	Director			C/O TREACE MEDICAL CONCEPTS, INC.	100 PALMETTO PARK PLACE	PONTE VEDRA	FL	32081		001-40355
0001628280-23-010284	0001868288	Cheng Lawrence	Director			C/O GAMESTOP CORP.	625 WESTPORT PARKWAY	GRAPEVINE	TX	76051		001-32637
0001415889-23-005719	0001220479	SUGARMAN JAY	Director,Officer	CHAIRMAN AND CEO		1114 AVENUE OF THE AMERICAS, 39TH FLOOR		NEW YORK	NY	10036		001-15371
0001415889-23-005718	0001913456	Asnas Brett	Officer	CHIEF FINANCIAL OFFICER		1114 AVE OF THE AMERICAS 39TH FLOOR		NEW YORK	NY	10036		001-15371
0001415889-23-005717	0001516720	Alvarado Marcos	Director,Officer	PRESIDENT & CIO		1114 AVENUE OF THE AMERICAS 39TH FLOOR		NEW YORK	NY	10036		001-15371
0001415889-23-005716	0001847950	Rosenblum Garett	Officer	CHIEF ACCOUNTING OFFICER		1114 AVENUE OF THE AMERICAS, 39TH FLR		NEW YORK	NY	10036		001-15371
0001692115-23-000100	0001289491	Daily Paul M	Officer	CEO/Centuri Group, Inc.		8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0001127602-23-011726	0001468818	Lofton Kevin E	Director			GILEAD SCIENCES, INC.	333 LAKESIDE DRIVE	FOSTER CITY	CA	94404		000-19731
0000899243-23-010144	0001849806	Sinha Saurabh	Officer	Chief Financial Officer		C/O AEVA TECHNOLOGIES, INC.	555 ELLIS STREET	MOUNTAIN VIEW	CA	94043		001-39204
0001209191-23-021954	0001910690	Rivas David	Officer	Chief Technology Officer		C/O RIGETTI COMPUTING, INC.	775 HEINZ AVENUE	BERKELEY	CA	94710		001-40140
0000899243-23-010142	0001229295	HUMPHREYS STEVEN	Director,Officer	CEO		2201 WALNUT AVENUE, SUITE #100		FREMONT	CA	94538		000-29440
0001209191-23-021952	0001613291	Danis Richard	Officer	General Counsel & Corp. Sec.		C/O RIGETTI COMPUTING, INC.	775 HEINZ AVENUE	BERKELEY	CA	94710		001-40140
0001692115-23-000099	0001289491	Daily Paul M	Officer	CEO/Centuri Group, Inc.		8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0001692115-23-000098	0001740091	Colvin Lori L	Officer	VP/Controller/CAO		8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0001692115-23-000097	0001446274	Haller Karen S	Officer	President and CEO		8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0001692115-23-000096	0001740097	Brown Justin L	Officer	President/Southwest Gas Corp.		8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0001692115-23-000095	0001447058	Moran Thomas E.	Officer	VP/General Counsel/Corp. Sec		8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0001209191-23-021950	0001184340	Bertelsen Jeffrey A.	Officer	Chief Financial Officer		C/O RIGETTI COMPUTING, INC.	775 HEINZ AVENUE	BERKELEY	CA	94710		001-40140
0001692115-23-000094	0001967550	Gabe Randall P.	Officer	SVP/Chief Administrative OFC		8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0001692115-23-000093	0001967554	Timperley Amy L.	Officer	SVP/Chief Reg. & Fin. Planning		8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0001692115-23-000092	0001955367	Stefani Robert J	Officer	SVP/Chief Financial Officer		8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0001692115-23-000091	0001932678	Williams Julie M.	Officer	SVP/Chief Operations Officer		8360 S. DURANGO DR.		LAS VEGAS	NV	89113		001-37976
0001321732-23-000044	0001375889	Grewal Harpreet	Director			ONE PENUMBRA PLACE		ALAMEDA	CA	94502		001-37557
0001140361-23-015504	0001770670	Davis Keri	Officer	CFO		800 SOUTH STREET	SUITE 230	WALTHAM	MA	02453		814-01211
0001117297-23-000010	0001478988	Valenti Douglas	Director,Officer	Chief Executive Officer		950 TOWER LANE, 6TH FLOOR		FOSTER CITY	CA	94404		001-34628
0001140361-23-015503	0001296907	Jones Elaine V	Director			C/O CYTOMX THERAPEUTICS, INC.	151 OYSTER POINT BLVD., STE. 400	SOUTH SAN FRANCISCO	CA	94080		001-37587
0000899243-23-010140	0001963878	Bellon Christine	Officer	Chief Legal Officer		C/O BEAM THERAPEUTICS INC.	238 MAIN STREET	CAMBRIDGE	MA	02142		001-39208
0001775625-23-000041	0001785238	Rammelt Susan Greenspon	Director,Officer	EVP, CLO, Secretary		C/O SMILEDIRECTCLUB, INC.	414 UNION STREET	NASHVILLE	TN	37219		001-39037
0001645873-23-000086	0001899362	Tirondola Connie	Director			200 S. VIRGINIA STREET	SUITE 800	RENO	NV	89501		001-40814
0001645873-23-000085	0001578938	SMITH KIMBERLY J	Director			200 S. VIRGINIA STREET	SUITE 800	RENO	NV	89501		001-40814
0001645873-23-000084	0001255094	NOLAN THOMAS  H JR	Director			200 S. VIRGINIA STREET	SUITE 800	RENO	NV	89501		001-40814
0001645873-23-000083	0001313188	McWilliams Curtis B	Director			200 S. VIRGINIA STREET	SUITE 800	RENO	NV	89501		001-40814
0001645873-23-000082	0001613110	MARKMAN ADAM SCOTT	Director			200 S. VIRGINIA STREET	SUITE 800	RENO	NV	89501		001-40814
0001645873-23-000081	0001848962	Ishaq Asma	Director			200 S. VIRGINIA STREET	SUITE 800	RENO	NV	89501		001-40814
0000899243-23-010138	0001786322	Ciaramella Giuseppe	Officer	President & CSO		C/O BEAM THERAPEUTICS INC.,	238 MAIN STREET	CAMBRIDGE	MA	02142		001-39208
0000899243-23-010137	0001786304	Evans John M.	Director,Officer	CEO		C/O BEAM THERAPEUTICS INC.,	238 MAIN STREET	CAMBRIDGE	MA	02142		001-39208
0000899243-23-010134	0001963879	Simon Amy	Officer	Chief Medical Officer		C/O BEAM THERAPEUTICS INC.	238 MAIN STREET	CAMBRIDGE	MA	02142		001-39208
0000899243-23-010132	0001786484	Burrell Terry-Ann	Officer	Chief Financial Officer		C/O BEAM THERAPEUTICS INC.,	238 MAIN STREET	CAMBRIDGE	MA	02142		001-39208
0001683168-23-002096	0001546797	Climaco John M	Director,Officer	Chief Executive Officer		C/O CNS PHARMACEUTICALS, INC.	100 WEST LOOP SOUTH, SUITE 900	HOUSTON	TX	77027		001-39126
0001683168-23-002095	0001705978	Downs Christopher	Officer	Chief Financial Officer		C/O CNS PHARMACEUTICALS, INC.	2100 WEST LOOP SOUTH, SUITE 900	HOUSTON	TX	77027		001-39126
0001104659-23-040378	0001959736	Estate of Geoffrey S. M. Hedrick	TenPercentOwner			C/O INNOVATIVE SOLUTIONS & SUPPORT INC.	720 PENNSYLVANIA DRIVE	EXTON	PA	19341		001-41503
0001505952-23-000035	0001366770	James Joshua G	TenPercentOwner			C/O DOMO, INC.	772 EAST UTAH VALLEY DRIVE	AMERICAN FORK	UT	84003		001-38553
0001688838-23-000004	0001688838	Swart Jeff	Officer	EVP, Gen. Counsel & Secretary		C/O TRUECAR, INC.	1401 OCEAN AVE, SUITE 200	SANTA MONICA	CA	90401		001-36449
0000899243-23-010129	0001884600	WCAS XIII Associates LLC	TenPercentOwner			C/O WELSH, CARSON, ANDERSON AND STOWE	599 LEXINGTON AVENUE, SUITE 1800	NEW YORK	NY	10022		001-40838
0000899243-23-010129	0001848767	WCAS XII ASSOCIATES LLC	TenPercentOwner			C/O WELSH, CARSON, ANDERSON AND STOWE	599 LEXINGTON AVENUE, SUITE 1800	NEW YORK	NY	10022		001-40838
0000899243-23-010129	0001879860	WCAS XII CARBON ANALYTICS ACQUISITION, L.P.	TenPercentOwner			C/O WELSH, CARSON, ANDERSON AND STOWE	599 LEXINGTON AVENUE, SUITE 1800	NEW YORK	NY	10022		001-40838
0001437749-23-008898	0001711564	Pang Simon	Other		Former EVP	1055 WILSHIRE BLVD	SUITE 1200	LOS ANGELES	CA	90017		001-38149
0000950142-23-000896	0001248577	SCHORSCH NICHOLAS S	TenPercentOwner			C/O BELLEVUE CAPITAL PARTNERS, LLC	222 BELLEVUE AVENUE	NEWPORT	RI	02840		001-39448
0000950142-23-000896	0001907225	Bellevue Capital Partners, LLC	TenPercentOwner			222 BELLEVUE AVENUE		NEWPORT	RI	02840		001-39448
0000950142-23-000896	0001920245	New York City Special Ltd. Partnership, LLC	TenPercentOwner			C/O BELLEVUE CAPITAL PARTNERS, LLC	222 BELLEVUE AVENUE	NEWPORT	RI	02840		001-39448
0000950142-23-000896	0001920246	New York City Advisors, LLC	TenPercentOwner			C/O BELLEVUE CAPITAL PARTNERS, LLC	222 BELLEVUE AVENUE	NEWPORT	RI	02840		001-39448
0000950142-23-000896	0001920248	American Realty Capital III, LLC	TenPercentOwner			C/O BELLEVUE CAPITAL PARTNERS, LLC	222 BELLEVUE AVENUE	NEWPORT	RI	02840		001-39448
0000950142-23-000896	0001920247	AR Global Investments, LLC	TenPercentOwner			C/O BELLEVUE CAPITAL PARTNERS, LLC	222 BELLEVUE AVENUE	NEWPORT	RI	02840		001-39448
0001721059-23-000006	0001721059	Darrow Michael	Director,Officer	President & CEO		C/O TRUECAR, INC.	1401 OCEAN AVE, SUITE 200	SANTA MONICA	CA	90401		001-36449
0000899243-23-010127	0001879859	WCAS XIII CARBON ANALYTICS ACQUISITION, L.P.	TenPercentOwner			C/O WELSH, CARSON, ANDERSON AND STOWE	599 LEXINGTON AVENUE, SUITE 1800	NEW YORK	NY	10022		001-40838
0000899243-23-010127	0001884565	WCAS XIII Carbon Investors, L.P.	TenPercentOwner			C/O WELSH, CARSON, ANDERSON AND STOWE	599 LEXINGTON AVENUE, SUITE 1800	NEW YORK	NY	10022		001-40838
0000899243-23-010127	0001680912	Welsh, Carson, Anderson & Stowe XII Delaware, L.P.	TenPercentOwner			C/O WELSH, CARSON, ANDERSON AND STOWE	599 LEXINGTON AVENUE, SUITE 1800	NEW YORK	NY	10022		001-40838
0000899243-23-010127	0001884563	WCAS XII Carbon Investors, L.P.	TenPercentOwner			C/O WELSH, CARSON, ANDERSON AND STOWE	599 LEXINGTON AVENUE, SUITE 1800	NEW YORK	NY	10022		001-40838
0000899243-23-010127	0001627644	Welsh, Carson, Anderson & Stowe XII Cayman, L.P.	TenPercentOwner			C/O WELSH, CARSON, ANDERSON AND STOWE	599 LEXINGTON AVENUE, SUITE 1800	NEW YORK	NY	10022		001-40838
0000899243-23-010127	0001626317	Welsh, Carson, Anderson & Stowe XII, L.P.	TenPercentOwner			C/O WELSH, CARSON, ANDERSON AND STOWE	599 LEXINGTON AVENUE, SUITE 1800	NEW YORK	NY	10022		001-40838
0000899243-23-010127	0001879860	WCAS XII CARBON ANALYTICS ACQUISITION, L.P.	TenPercentOwner			C/O WELSH, CARSON, ANDERSON AND STOWE	599 LEXINGTON AVENUE, SUITE 1800	NEW YORK	NY	10022		001-40838
0000899243-23-010127	0001848620	WCAS XII ASSOCIATES CAYMAN, L.P.	TenPercentOwner			C/O WELSH, CARSON, ANDERSON AND STOWE	599 LEXINGTON AVENUE, SUITE 1800	NEW YORK	NY	10022		001-40838
0000899243-23-010127	0001627643	Welsh, Carson, Anderson & Stowe XII Delaware II, L.P.	TenPercentOwner			C/O WELSH, CARSON, ANDERSON AND STOWE	599 LEXINGTON AVENUE, SUITE 1800	NEW YORK	NY	10022		001-40838
0000899243-23-010127	0001879925	WCAS GP CW LLC	TenPercentOwner			C/O WELSH, CARSON, ANDERSON AND STOWE	599 LEXINGTON AVENUE, SUITE 1800	NEW YORK	NY	10022		001-40838
0001553997-23-000010	0001813871	Ritacco Steven Paul	Director,Officer	Chief Technology Officer		4311 NE 18TH AVE		FT. LAUDERDALE	FL	33334		000-56366
0001462056-23-000121	0001857850	Budman Gleb	Director,Officer,TenPercentOwner	CEO and Chairperson		500 BEN FRANKLIN CT.		SAN MATEO	CA	94401		001-41026
0001462056-23-000120	0001858923	Nufire Timothy M	Director,TenPercentOwner			500 BEN FRANKLIN CT.		SAN MATEO	CA	94401		001-41026
0001517413-23-000058	0001642259	Shirk Brett	Officer	Executive Vice President, CRO		C/O FASTLY, INC.	475 BRANNAN STREET, SUITE 300	SAN FRANCISCO	CA	94107		001-38897
0001209191-23-021948	0001348459	Hamer Andrew	Officer	Chief Financial Officer		C/O SARCOS TECHNOLOGY AND ROBOTICS CORP	650 SOUTH 500 WEST, SUITE 150	SALT LAKE CITY	UT	84101		001-39897
0001517413-23-000057	0001944844	Nightingale Todd	Director,Officer	CEO		C/O FASTLY, INC.	475 BRANNAN STREET, SUITE 300	SAN FRANCISCO	CA	94107		001-38897
0001517413-23-000056	0001228622	KISLING RONALD W	Officer	Chief Financial Officer		C/O FASTLY, INC.	475 BRANNAN STREET, SUITE 300	SAN FRANCISCO	CA	94107		001-38897
0001225208-23-004336	0001206911	COX MATTHEW J	Director,Officer	Chairman & CEO		1411 SAND ISLAND PARKWAY		HONOLULU	HI	96819		001-34187
0001209191-23-021947	0001711463	Harris Todd	Director,Officer	Chief Executive Officer		C/O TYRA BIOSCIENCES, INC.	2656 STATE STREET	CARLSBAD	CA	92008		001-40800
0001437749-23-008896	0001556355	Mathew Aby J.	Officer	EVP & Chief Scientific Officer		C/O BIOLIFE SOLUTIONS, INC.	3303 MONTE VILLA PARKWAY, SUITE 310	BOTHELL	WA	98021		001-36362
0001437749-23-008895	0001683151	Foster Karen A.	Officer	Chief Quality Officer		C/O BIOLIFE SOLUTIONS, INC.	3303 MONTE VILLA PARKWAY, SUITE 310	BOTHELL	WA	98021		001-36362
0001437749-23-008894	0001389512	Rice Michael	Director,Officer	CEO		C/O BIOLIFE SOLUTIONS, INC.	3303 MONTE VILLA PARKWAY, SUITE 310	BOTHELL	WA	98021		001-36362
0001437749-23-008893	0001633186	Berard Todd	Officer	Chief Marketing Officer		C/O BIOLIFE SOLUTIONS, INC.	3303 MONTE VILLA PARKWAY, SUITE 310	BOTHELL	WA	98021		001-36362
0001104659-23-040369	0001587452	Basile Donald G	TenPercentOwner			2877 PARADISE ROAD #702		LAS VEGAS	NV	89109		001-39687
0001104659-23-040368	0001587473	Doll Dixon R Jr.	TenPercentOwner			2877 PARADISE ROAD #702		LAS VEGAS	NV	89109		001-39687
0000891166-23-000034	0001492959	Donaghy Stephen	Director,Officer	CEO		1110 WEST COMMERCIAL BOULEVARD	SUITE 100	FORT LAUDERDALE	FL	33309		001-33251
0001104659-23-040367	0001824499	Roman DBDR Tech Sponsor LLC	TenPercentOwner			2877 PARADISE ROAD #702		LAS VEGAS	NV	89109		001-39687
