ACCESSION_NUMBER	RPTOWNERCIK	RPTOWNERNAME	RPTOWNER_RELATIONSHIP	RPTOWNER_TITLE	RPTOWNER_TXT	RPTOWNER_STREET1	RPTOWNER_STREET2	RPTOWNER_CITY	RPTOWNER_STATE	RPTOWNER_ZIPCODE	RPTOWNER_STATE_DESC	FILE_NUMBER
0001679788-22-000078	0001589043	Rajaram Gokul	Director			C/O COINBASE GLOBAL, INC.		NOT APPLICABLE	DE			001-40289
0001415889-22-007134	0001513422	Beckman Daniella	Director			C/O BLUEPRINT MEDICINES CORPORATION	45 SIDNEY STREET	CAMBRIDGE	MA	02139		001-37359
0001415889-22-007133	0001612528	COATS LONNEL	Director			C/O BLUEPRINT MEDICINES CORPORATION	45 SIDNEY STREET	CAMBRIDGE	MA	02139		001-37359
0001415889-22-007132	0001639935	Lydon Nicholas	Director			C/O BLUEPRINT MEDICINES CORPORATION	45 SIDNEY STREET	CAMBRIDGE	MA	02139		001-37359
0001415889-22-007131	0001532475	Goldberg Mark Alan	Director			C/O BLUEPRINT MEDICINES CORPORATION	45 SIDNEY STREET	CAMBRIDGE	MA	02139		001-37359
0001415889-22-007130	0001319446	Borisy Alexis	Director			C/O BLUEPRINT MEDICINES CORPORATION	45 SIDNEY STREET	CAMBRIDGE	MA	02139		001-37359
0001415889-22-007129	0001639147	Demetri George	Director			C/O BLUEPRINT MEDICINES CORPORATION	45 SIDNEY STREET	CAMBRIDGE	MA	02139		001-37359
0001415889-22-007128	0001327111	Seely Lynn	Director			C/O BLUEPRINT MEDICINES CORPORATION	45 SIDNEY STREET	CAMBRIDGE	MA	02139		001-37359
0000897101-22-000673	0001695293	THISSEN KAREN WILSON	Officer	General Counsel & Secretary		NUMBER ONE GENERAL MILLS BOULEVARD		MINNEAPOLIS	MN	55426		001-01185
0000897101-22-000672	0001618567	Williams-Roll Jacqueline	Officer	Chief Human Resources Officer		NUMBER ONE GENERAL MILLS BOULEVARD		MINNEAPOLIS	MN	55426		001-01185
0000897101-22-000671	0001765535	Walker Sean N	Officer	Group President		NUMBER ONE GENERAL MILLS BOULEVARD		MINNEAPOLIS	MN	55426		001-01185
0000897101-22-000670	0001694798	Quam Bethany C.	Officer	Group President, Pet		NUMBER ONE GENERAL MILLS BOULEVARD		MINNEAPOLIS	MN	55426		001-01185
0001596771-22-000018	0001361828	Rego John S	Officer	Chief Financial Officer		C/O WIDEOPENWEST, INC.	7887 EAST BELLEVIEW AVENUE, SUITE 1000	ENGLEWOOD	CO	80111		001-38101
0000897101-22-000669	0001800699	Pallot Mark A	Officer	Chief Accounting Officer		NUMBER ONE GENERAL MILLS BOULEVARD		MINNEAPOLIS	MN	55426		001-01185
0000897101-22-000668	0001491022	OGrady Shawn P	Officer	Group President		NUMBER ONE GENERAL MILLS BOULEVARD		MINNEAPOLIS	MN	55426		001-01185
0000897101-22-000667	0001685072	Nudi Jonathon	Officer	Group President		NUMBER ONE GENERAL MILLS BOULEVARD		MINNEAPOLIS	MN	55426		001-01185
0001654954-22-009064	0001936158	WEI PAO-SHENG	Director			8880 RIO SAN DIEGO DRIVE	SUITE 800	SAN DIEGO	CA	92108		000-20791
0000897101-22-000666	0001803669	Montemayor Jaime	Officer	Chief Technology Officer		NUMBER ONE GENERAL MILLS BOULEVARD		MINNEAPOLIS	MN	55426		001-01185
0000897101-22-000665	0001794679	McNabb Dana M	Officer	Chief S&G Officer		NUMBER ONE GENERAL MILLS BOULEVARD		MINNEAPOLIS	MN	55426		001-01185
0000897101-22-000664	0001605892	HARMENING JEFFREY L	Director,Officer	Chairman of the Board & CEO		NUMBER ONE GENERAL MILLS BOULEVARD		MINNEAPOLIS	MN	55426		001-01185
0000897101-22-000663	0001869060	Gallagher Paul Joseph	Officer	Chief Supply Chain Officer		NUMBER ONE GENERAL MILLS BOULEVARD		MINNEAPOLIS	MN	55426		001-01185
0001654954-22-009063	0001867741	Wang David Tzat-kin	Officer	Chief Technology Officer		1200 PROSPECT ST	STE 200	LA JOLLA	CA	92037		001-32277
0000897101-22-000662	0001711382	Bruce Kofi A	Officer	Chief Financial Officer		NUMBER ONE GENERAL MILLS BOULEVARD		MINNEAPOLIS	MN	55426		001-01185
0000897101-22-000661	0001748878	Benson Jodi J	Officer	Chief Innovation Officer		NUMBER ONE GENERAL MILLS BOULEVARD		MINNEAPOLIS	MN	55426		001-01185
0001493152-22-018283	0001612914	DALY JOHN N	Director			7 CLYDE ROAD		SOMERSET	NJ	08873		001-36529
0001554795-22-000234	0001356504	READ JONATHAN R	Director			6711 E. CAMELBACK RD		SCOTTSDALE	AZ	85251		001-40202
0000899243-22-024701	0001229295	HUMPHREYS STEVEN	Director,Officer	CEO		2201 WALNUT AVENUE, SUITE #100		FREMONT	CA	94538		000-29440
0000899243-22-024700	0001935892	Hamstra Calvin	Officer	Chief Financial Officer		C/O MSP RECOVERY, INC.	2701 S LE JEUNE ROAD, FLOOR 10	CORAL GABLES	FL	33134		001-39445
0001415889-22-007127	0001749345	Olinger Haydee	Director			1624 MARKET ST, STE. 311		DENVER	CO	80202		001-37379
0001415889-22-007125	0001882102	Lintonsmith Susan	Director			1624 MARKET ST, STE 311		DENVER	CO	80202		001-37379
0001415889-22-007123	0001595628	Angelis Dimitrios	Director			1624 MARKET ST	STE 311	DENVER	CO	80202		001-37379
0001415889-22-007121	0001401800	Serruya Michael	Director			1624 MARKET ST	STE 311	DENVER	CO	80202		001-37379
0001437749-22-016333	0001617176	NORRIS DUSTIN DAVID	Officer	Executive Vice President		300 CRESCENT COURT, SUITE 700		DALLAS	TX	75201		811-23129
0001415889-22-007120	0001256739	BULLIS EUGENE M	Director			1624 MARKET ST	STE 311	DENVER	CO	80202		001-37379
0001474506-22-000076	0001696602	Solimene Lewis	Officer	CFO and CIO		C/O MONROE CAPITAL CORPORATION	311 SOUTH WACKER DRIVE, SUITE 6400	CHICAGO	IL	60606		814-00866
0001474506-22-000075	0001935913	Davidson Caroline	Director			C/O MONROE CAPITAL CORPORATION	311 SOUTH WACKER DRIVE, SUITE 6400	CHICAGO	IL	60606		814-00866
0000899243-22-024696	0001142748	KIRKLAND J BRYANT III	Officer	SVP, Treasurer & CFO		C/O DOUGLAS ELLIMAN INC.	4400 BISCAYNE BLVD; 10TH FLOOR	MIAMI	FL	33137		001-41054
0000899243-22-024695	0001047092	LAMPEN RICHARD	Director,Officer	See Remarks		C/O DOUGLAS ELLIMAN INC.	4400 BISCAYNE BLVD; 10TH FLOOR	MIAMI	FL	33137		001-41054
0001654954-22-009061	0000902111	MIHAYLO STEVEN G	Director,Officer,TenPercentOwner	Chief Executive Officer		1615 S 52ND ST		TEMPE	AZ	85281		001-32277
0001127602-22-018314	0001294693	Benioff Marc	Director,Officer	Chairman and Co-CEO		415 MISSION STREET	3RD FLOOR	SAN FRANCISCO	CA	94105		001-32224
0001104659-22-076418	0001033309	WILLIS CHARLES F IV	Director,Officer,TenPercentOwner	Executive Chairman		4700 LYONS TECHNOLOGY PARKWAY		COCONUT CREEK	FL	33073		001-15369
0001302232-22-000002	0001302232	Kumar Ganesh	Officer	Chief Operating Officer		P.O. BOX 195115		SAN JUAN	PR	00919-5115	PUERTO RICO	001-12647
0001209191-22-039982	0001675774	Herron Jennifer Lyn	Director			835 INDUSTRIAL ROAD, SUITE 600		SAN CARLOS	CA	94070-3312		001-35420
0001209191-22-039980	0001100224	HICKS WAYLAND R	Director			299 SW CLAY STREET	SUITE 350	PORTLAND	OR	97201		000-22496
0001209191-22-039979	0001675774	Herron Jennifer Lyn	Director			835 INDUSTRIAL ROAD, SUITE 600		SAN CARLOS	CA	94070-3312		001-35420
0000950142-22-002053	0001676868	Yip Christopher J.	Director			4900 N. SCOTTSDALE ROAD, SUITE 2000		SCOTTSDALE	AZ	85251		001-35873
0000950142-22-002052	0001288050	MARIUCCI ANNE L	Director			4900 N. SCOTTSDALE ROAD, SUITE 2000		SCOTTSDALE	AZ	85251		001-35873
0001538716-22-000148	0001423081	Williams R Neil	Director			C/O OPORTUN FINANCIAL CORPORATION	2 CIRCLE STAR WAY	SAN CARLOS	CA	94070		001-39050
0001538716-22-000146	0001488166	Welts Frederic	Director			C/O OPORTUN FINANCIAL CORPORATION	2 CIRCLE STAR WAY	SAN CARLOS	CA	94070		001-39050
0001538716-22-000144	0001182820	STROHM DAVID N	Director			C/O OPORTUN FINANCIAL CORPORATION	2 CIRCLE STAR WAY	SAN CARLOS	CA	94070		001-39050
0001935777-22-000001	0001935777	Archos George Peter	Officer	Chief Executive Officer		415 NORTH DEARBORN STREET	4TH FLOOR	CHICAGO	IL	60654		000-56342
0001818093-22-000125	0001825737	Few Julius	Director			C/O THE BEAUTY HEALTH COMPANY	2165 SPRING STREET	LONG BEACH	CA	90806		001-39565
0001818093-22-000123	0001828069	Gruber Desiree	Director			C/O THE BEAUTY HEALTH COMPANY	2165 SPRING STREET	LONG BEACH	CA	90806		001-39565
0001538716-22-000142	0001251447	PASCARELLA CARL	Director			C/O OPORTUN FINANCIAL CORPORATION	2 CIRCLE STAR WAY	SAN CARLOS	CA	94070		001-39050
0000899243-22-024694	0001865166	Lindsay Casey Penn	Officer	See Remarks		C/O MISTER CAR WASH, INC.	222 E 5TH STREET	TUCSON	AZ	85705		001-40542
0001818093-22-000121	0001857685	Miller Brian Christopher	Director			C/O THE BEAUTY HEALTH COMPANY	2165 SPRING STREET	LONG BEACH	CA	90806		001-39565
0001437749-22-016326	0001633186	Berard Todd	Officer	Chief Marketing Officer		C/O BIOLIFE SOLUTIONS, INC.	3303 MONTE VILLA PARKWAY, SUITE 310	BOTHELL	WA	98021		001-36362
0001538716-22-000140	0001880890	Lee Ginny	Director			C/O OPORTUN FINANCIAL CORPORATION	2 CIRCLE STAR WAY	SAN CARLOS	CA	94070		001-39050
0001209191-22-039976	0001760229	Brunn Carsten	Director			C/O SURFACE ONCOLOGY, INC.	50 HAMPSHIRE STREET, 8TH FLOOR	CAMBRIDGE	MA	02139		001-38459
0001437749-22-016325	0001683151	Foster Karen A.	Officer	Chief Quality Officer		C/O BIOLIFE SOLUTIONS, INC.	3303 MONTE VILLA PARKWAY, SUITE 310	BOTHELL	WA	98021		001-36362
0001818093-22-000119	0001824213	Kerrick Michelle C.	Director			C/O THE BEAUTY HEALTH COMPANY	2165 SPRING STREET	LONG BEACH	CA	90806		001-39565
0000899243-22-024692	0001865159	Funk Lisa Bossard	Officer	General Counsel		C/O MISTER CAR WASH, INC.	222 E 5TH STREET	TUSCON	AZ	85705		001-40542
0000899243-22-024691	0001865157	Gold Jedidiah Marc	Officer	Chief Financial Officer		C/O MISTER CAR WASH, INC.	222 E 5TH STREET	TUSCON	AZ	85705		001-40542
0000899243-22-024690	0001865267	Lai John Lo-minn	Director,Officer	Chief Executive Officer		C/O MISTER CAR WASH, INC.	222 E 5TH STREET	TUCSON	AZ	85705		001-40542
0000899243-22-024689	0001865161	Chimienti Mayra Idali	Officer	Chief Operating Officer		C/O MISTER CAR WASH, INC.	222 E 5TH STREET	TUCSON	AZ	85705		001-40542
0001437749-22-016324	0001556355	Mathew Aby J.	Officer	EVP & Chief Scientific Officer		C/O BIOLIFE SOLUTIONS, INC.	3303 MONTE VILLA PARKWAY, SUITE 310	BOTHELL	WA	98021		001-36362
0001506293-22-000086	0001591358	Morgenfeld Todd R	Officer	Chief Financial Officer		C/O PINTEREST, INC.	505 BRANNAN STREET	SAN FRANCISCO	CA	94107		001-38872
0001437749-22-016323	0001389512	Rice Michael	Director,Officer	CEO		C/O BIOLIFE SOLUTIONS, INC.	3303 MONTE VILLA PARKWAY, SUITE 310	BOTHELL	WA	98021		001-36362
0001209191-22-039975	0001760229	Brunn Carsten	Director			C/O SURFACE ONCOLOGY, INC.	50 HAMPSHIRE STREET, 8TH FLOOR	CAMBRIDGE	MA	02139		001-38459
0001744489-22-000124	0001935127	Schake Kristina K	Officer	Sr. EVP and Chief Comm Officer		500 SOUTH BUENA VISTA STREET		BURBANK	CA	91521		001-38842
0001818093-22-000117	0001652271	BECK MARLA MALCOLM	Director			C/O THE BEAUTY HEALTH COMPANY	2165 SPRING STREET	LONG BEACH	CA	90806		001-39565
0001209191-22-039973	0001897093	Parkkinen Juho	Officer	SVP & Chief Financial Officer		C/O C3.AI, INC.	1300 SEAPORT BLVD, SUITE 500	REDWOOD CITY	CA	94063		001-39744
0001818093-22-000115	0001857674	Schillinger Doug K.	Director			C/O THE BEAUTY HEALTH COMPANY	2165 SPRING STREET	LONG BEACH	CA	90806		001-39565
0001818093-22-000113	0001068045	CAPELLAS MICHAEL D	Director			C/O THE BEAUTY HEALTH COMPANY	2165 SPRING STREET	LONG BEACH	CA	90806		001-39565
0001127602-22-018312	0001933475	MCCONEGHY DANIEL C	Officer	VP Chief Accounting & Tax Ofcr		5757 N GREEN BAY AVE		MILWAUKEE	WI	53209		001-13836
0001261333-22-000124	0001517205	Springer Daniel D.	Director			C/O DOCUSIGN, INC.	221 MAIN STREET, SUITE 1550	SAN FRANCISCO	CA	94105		001-38465
0001127602-22-018311	0001223756	CHASE ANTHONY R	Director			C/O NABORS CORPORATE SERVICES, INC.	515 WEST GREENS RD.	HOUSTON	TX	77067		001-32657
0000950103-22-011807	0001445832	Watzinger Gerhard	Director			C/O CROWDSTRIKE HOLDINGS, INC.	206 E. 9TH STREET, SUITE 1400	AUSTIN	TX	78701		001-38933
0001493152-22-018281	0001934411	Foreman Jay B	Director			6301 NW 5TH WAY,	SUITE 2900	FORT LAUDERDALE	FL	33309		001-41405
0001493152-22-018279	0001892734	Peloquin Mathieu	Director			730 WELLINGTON STREET		MONTREAL	A8	H3C 1T4	QUEBEC, CANADA	001-41405
0001493152-22-018277	0001251908	KLING JOSEPH	Director			5846 NW 24TH AVENUE (UNIT #203)		BOCA RATON	FL	33496		001-41405
0001493152-22-018275	0001126580	JUDKOWITZ HARVEY	Director			14241 SW 92ND AVE		MIAMI	FL	33176		001-41405
0000899243-22-024681	0001451612	Booth Bruce	Director			C/O MAGENTA THERAPEUTICS, INC.	100 TECHNOLOGY SQUARE	CAMBRIDGE	MA	02139		001-38541
0001585521-22-000147	0001773301	Bawa Aparna	Officer	Chief Operating Officer		C/O ZOOM VIDEO COMMUNICATIONS, INC.	55 ALMADEN BOULEVARD, 6TH FLOOR	SAN JOSE	CA	95113		001-38865
0001585521-22-000146	0001364713	Steckelberg Kelly	Officer	Chief Financial Officer		C/O ZOOM VIDEO COMMUNICATIONS, INC.	55 ALMADEN BOULEVARD, 6TH FLOOR	SAN JOSE	CA	95113		001-38865
0001437749-22-016315	0001617176	NORRIS DUSTIN DAVID	Officer	Executive Vice President		300 CRESCENT COURT, SUITE 700		DALLAS	TX	75201		811-23268
0001437749-22-016314	0001895263	Vitiello Stephanie	Officer	Chief Compliance Officer		300 CRESCENT COURT, SUITE 700		DALLAS	TX	75201		811-23268
0001062993-22-015696	0001751631	Prime Movers Lab Fund I LP	TenPercentOwner			P.O. BOX 12829		JACKSON	WY	83002		001-40209
0001062993-22-015696	0001875411	Sloss Dakin	TenPercentOwner			P.O. BOX 12829		JACKSON	WY	83002		001-40209
